mask,features,n_features,unique_groups,deterministic_groups,D_state,A_freq,B_unique_DeltaW,DeltaW_compression_rate
245,frob2+stable_rank+out_strength_distribution+in_strength_distribution+in_out_strength_distribution+out_strength_vector,6,11202,11202,1.0,1.0,2562,0.0
246,rank+stable_rank+out_strength_distribution+in_strength_distribution+in_out_strength_distribution+out_strength_vector,6,11202,11202,1.0,1.0,2562,0.0
247,frob2+rank+stable_rank+out_strength_distribution+in_strength_distribution+in_out_strength_distribution+out_strength_vector,7,11202,11202,1.0,1.0,2562,0.0
248,singular_values+out_strength_distribution+in_strength_distribution+in_out_strength_distribution+out_strength_vector,5,11202,11202,1.0,1.0,2562,0.0
249,frob2+singular_values+out_strength_distribution+in_strength_distribution+in_out_strength_distribution+out_strength_vector,6,11202,11202,1.0,1.0,2562,0.0
250,rank+singular_values+out_strength_distribution+in_strength_distribution+in_out_strength_distribution+out_strength_vector,6,11202,11202,1.0,1.0,2562,0.0
251,frob2+rank+singular_values+out_strength_distribution+in_strength_distribution+in_out_strength_distribution+out_strength_vector,7,11202,11202,1.0,1.0,2562,0.0
252,stable_rank+singular_values+out_strength_distribution+in_strength_distribution+in_out_strength_distribution+out_strength_vector,6,11202,11202,1.0,1.0,2562,0.0
253,frob2+stable_rank+singular_values+out_strength_distribution+in_strength_distribution+in_out_strength_distribution+out_strength_vector,7,11202,11202,1.0,1.0,2562,0.0
254,rank+stable_rank+singular_values+out_strength_distribution+in_strength_distribution+in_out_strength_distribution+out_strength_vector,7,11202,11202,1.0,1.0,2562,0.0
255,frob2+rank+stable_rank+singular_values+out_strength_distribution+in_strength_distribution+in_out_strength_distribution+out_strength_vector,8,11202,11202,1.0,1.0,2562,0.0
256,in_strength_vector,1,10538,9928,0.9421142531789714,0.9528795811518325,2200,0.14129586260733806
257,frob2+in_strength_vector,2,10990,10812,0.9838034576888081,0.9747063817744446,2474,0.03434816549570652
258,rank+in_strength_vector,2,10724,10284,0.958970533383066,0.9755553983302674,2365,0.07689305230288834
259,frob2+rank+in_strength_vector,3,11056,10940,0.9895079594790159,0.9942691382481958,2488,0.02888368462138957
260,stable_rank+in_strength_vector,2,11182,11174,0.9992845644786263,0.9997877458610442,2534,0.010928961748633892
261,frob2+stable_rank+in_strength_vector,3,11182,11174,0.9992845644786263,0.9997877458610442,2534,0.010928961748633892
